timestamp,ax,ay,az,gx,gy,gz,speed,impact,duration,power,efficiency,acc_mag,gyro_mag,peak_acc,peak_gyro,energy,ml_swing,stroke_type,final_prediction
118794,0.42,0.53,-1.79,100.31,-57.74,-0.78,44.79,33.31,0.43,1491.9549000000002,77.46493612805553,44.79,33.31,53.748,36.641000000000005,641.540607,MEDIUM,CLEAR,MEDIUM
121143,0.26,0.55,-1.94,90.56,-42.83,-4.64,44.49,32.86,0.43,1461.9414,76.41842693389086,44.49,32.86,53.388,36.146,628.6348019999999,MEDIUM,CLEAR,MEDIUM
123215,0.62,0.31,-1.5,58.91,-31.62,3.19,46.38,34.91,0.47,1619.1258,74.276437709707,46.38,34.91,55.656,38.400999999999996,760.9891259999999,MEDIUM,CLEAR,MEDIUM
125118,-0.14,-0.1,-1.73,129.92,-159.63,211.04,53.16,35.96,0.53,1911.6336,67.84892858692719,53.16,35.96,63.791999999999994,39.556000000000004,1013.165808,MEDIUM,SMASH,MEDIUM
127468,-0.05,0.37,-2.28,61.0,-33.1,-26.27,43.74,32.61,0.46,1426.3614,70.89115023662993,43.74,32.61,52.488,35.871,656.126244,MEDIUM,CLEAR,WEAK
130935,0.19,-0.43,-0.2,179.43,-11.78,-1.27,53.16,34.63,1.87,1840.9308,18.51870667448841,53.16,34.63,63.791999999999994,38.093,3442.5405960000003,MEDIUM,DROP,MEDIUM
132125,0.52,0.47,-1.69,84.36,-16.64,8.34,45.67,35.28,0.5,1611.2376000000002,70.55985888028223,45.67,35.28,54.804,38.80800000000001,805.6188000000001,MEDIUM,CLEAR,MEDIUM
134242,-0.41,0.11,-2.25,55.59,-14.3,-41.72,42.15,34.58,0.46,1457.5469999999998,75.17374962228342,42.15,34.58,50.58,38.038000000000004,670.4716199999999,MEDIUM,CLEAR,MEDIUM
135896,0.38,0.29,-2.07,16.35,-175.67,241.26,42.31,29.69,0.41,1256.1839000000002,72.41445752571336,42.31,29.69,50.772,32.659000000000006,515.0353990000001,MEDIUM,CLEAR,WEAK
137264,0.07,-0.64,-0.24,96.04,19.04,7.42,16.54,15.47,0.55,255.8738,28.12722158686984,16.54,15.47,19.848,17.017000000000003,140.73059,WEAK,DROP,WEAK
138716,0.24,0.05,-2.36,57.88,-94.08,-17.87,39.7,33.71,0.42,1338.287,80.26171366258653,39.7,33.71,47.64,37.081,562.08054,MEDIUM,CLEAR,WEAK
141168,0.43,0.16,-2.18,47.75,-63.75,-42.88,44.1,34.39,0.45,1516.5990000000002,76.42205239543912,44.1,34.39,52.92,37.829,682.4695500000001,MEDIUM,DROP,MEDIUM
143387,0.38,-0.43,-1.69,28.0,-72.69,-15.35,53.16,38.6,0.42,2051.976,91.90454308442123,53.16,38.6,63.791999999999994,42.46000000000001,861.82992,MEDIUM,SMASH,STRONG
152203,-0.42,0.07,-2.03,52.93,-66.26,-13.39,53.16,38.39,0.4,2040.8123999999998,95.97476006309985,53.16,38.39,63.791999999999994,42.229000000000006,816.3249599999999,MEDIUM,SMASH,STRONG
154909,0.0,0.55,-2.18,92.65,-55.27,-19.35,45.63,34.74,0.55,1585.1862,63.163521520869956,45.63,34.74,54.756,38.214000000000006,871.8524100000001,MEDIUM,CLEAR,MEDIUM
156527,0.34,-0.34,-1.63,-41.82,-57.21,-29.64,51.8,32.15,0.54,1665.37,59.53692678346891,51.8,32.15,62.16,35.365,899.2998,MEDIUM,DROP,MEDIUM
158610,0.38,-0.36,-1.47,-16.02,-57.21,1.06,43.9,27.62,0.5,1212.518,55.239889520220956,43.9,27.62,52.68,30.382000000000005,606.259,MEDIUM,DROP,WEAK
160602,0.09,-0.57,-1.25,-18.29,-80.76,20.8,53.16,37.39,0.41,1987.6524,91.19489952463532,53.16,37.39,63.791999999999994,41.129000000000005,814.9374839999999,MEDIUM,SMASH,MEDIUM
162357,0.08,-0.6,-1.62,-3.94,-22.43,-26.99,53.16,37.64,0.52,2000.9424,72.38447618369965,53.16,37.64,63.791999999999994,41.404,1040.490048,MEDIUM,SMASH,MEDIUM
164237,-0.48,-0.4,-1.38,47.06,-95.66,-3.29,53.16,38.66,0.37,2055.1656,104.4862040913403,53.16,38.66,63.791999999999994,42.525999999999996,760.4112719999999,STRONG,SMASH,STRONG
165732,-0.5,-0.34,-0.53,-19.91,65.12,-99.07,49.66,35.78,0.48,1776.8347999999999,74.54151137185131,49.66,35.78,59.59199999999999,39.358000000000004,852.8807039999999,MEDIUM,DROP,MEDIUM
167505,0.16,0.47,-2.23,123.89,-93.46,-27.58,42.9,35.79,0.47,1535.3909999999998,76.14877415154436,42.9,35.79,51.48,39.369,721.6337699999999,MEDIUM,CLEAR,MEDIUM
