feature,VALID_mean,VALID_std,VALID_min,VALID_max,INVALID_mean,INVALID_std,INVALID_min,INVALID_max,INVALID_AS_VALID_mean,INVALID_AS_VALID_min,INVALID_AS_VALID_max
ax,-0.19997802472486448,0.37408848932667405,-0.8356213841369167,0.7994732702268819,0.11104790419161678,0.43803661465267396,-0.81,0.86,-0.20400000000000001,-0.69,0.26
ay,0.30054159496690214,0.276225503506174,-0.6372610769313014,0.76,-0.20721556886227546,0.3804143089890407,-0.85,0.79,0.30200000000000005,-0.22,0.68
az,-1.1182023873663114,0.4286408333812217,-1.8007532515380604,0.6480764278413311,-0.2748802395209581,1.0110535420508826,-1.96,2.5,-0.336,-1.53,0.6
gx,-19.45888028434977,25.646283338819398,-56.99245369274991,41.936296157430114,0.6735628742514971,28.34874393095754,-59.84,56.82,-6.575999999999999,-36.58,20.12
gy,4.350695159538244,29.238829364120498,-58.301822068503824,52.9014670980495,-14.74,29.804890976585135,-58.81,56.28,21.18,-32.42,45.98
gz,-12.795080788719007,24.82253710429692,-53.61764363030755,55.71,-0.9441616766467065,23.961566819184398,-55.84,56.6,-1.1299999999999997,-32.18,21.82
speed,24.381433202415216,19.973669795128565,4.028464049400834,88.48038830900443,37.38401197604791,21.896902836375787,3.95,79.98,41.394,9.34,67.32
impact,29.617223135012477,7.952836088968296,17.36,39.85,34.71164670658682,5.22165575960403,17.15,42.41,28.928000000000004,17.85,38.9
duration,0.7907906462214592,0.29390915387549527,0.2271967816174754,1.219041073062798,0.5511077844311377,0.20650160598056858,0.25,1.19,0.8960000000000001,0.41,1.12
